Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)"
2020-07-24,FB,NgocNgo,CVS,0,0,0,0,0,0,0,18,13,6723608.695652174,5769000,0.0,1,0.0,0.0,0.0
2020-07-24,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-24,FB,GiangPhan,CVS,0,0,0,0,0,0,0,14,7,3751304.347826087,3274000,0.0,0,0.0,0.0,0.0
2020-07-24,FB,AnhNguyen08,CVS,165747,1921,1774,11,0,0,0,0,0,0.0,0,0.0,0,86281.62415408641,15067.90909090909,0.0
2020-07-24,FB,TungTran,CVS,180044,3212,3100,5,3,0,0,1,0,0.0,0,180044.0,0,56053.54919053549,36008.8,0.0
2020-07-24,FB,AnhTrinh,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-24,FB,YenNguyen02,CVS,0,40282,33049,136,9,14,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-24,FB,ThuHoang,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-24,Google,TienTran,Search,388833,6196,0,154,0,0,0,2,0,0.0,0,194416.5,0,62755.48741123306,2524.8896103896104,0.0
2020-07-24,Google,TienTran,Discovery,403617,21207,0,910,0,0,0,2,2,998000.0,998000,201808.5,1,19032.253501202435,443.5351648351648,0.0
2020-07-24,Google,TienTran,PerMax,211628,7092,0,96,0,0,0,1,1,499000.0,499000,211628.0,1,29840.38353073886,2204.458333333333,0.0
2020-07-24,Google,TienTran,Guu-Search,38456,506,0,18,0,0,0,0,0,0.0,0,0.0,0,76000.0,2136.4444444444443,0.0
2020-07-24,Google,TienTran,Guu-Discovery,12684,896,0,45,0,0,0,0,0,0.0,0,0.0,0,14156.25,281.8666666666667,0.0
2020-07-24,Google,TienTran,Guu-PerMax,221638,6515,0,144,0,0,0,1,1,499000.0,499000,221638.0,1,34019.64696853415,1539.1527777777778,0.0
2020-07-24,Google,DucVu,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-25,FB,DucVu,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-25,FB,DucVu,Mess,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-25,FB,DucVu,Brand,716951,193954,148872,288,0,0,0,0,0,0.0,0,0.0,0,3696.500201078606,2489.4131944444443,0.0
2020-07-25,FB,NgocNgo,CVS,0,0,0,0,0,0,0,20,15,7419913.043478261,5489000,0.0,1,0.0,0.0,0.0
2020-07-25,FB,HuyenNguyen05,Brand,0,0,0,0,0,0,0,1,1,499000.0,499000,0.0,1,0.0,0.0,0.0
2020-07-25,FB,GiangPhan,CVS,1744559,22513,20189,86,7,9,0,8,7,3751304.347826087,3274000,218069.875,1,77491.18287211833,20285.56976744186,193839.88888888888
2020-07-25,FB,AnhNguyen08,CVS,1467582,22270,19095,46,2,4,0,8,8,3992000.0,3992000,183447.75,1,65899.50606196678,31903.95652173913,366895.5
2020-07-25,FB,TungTran,CVS,271394,7785,7055,4,1,1,0,0,0,0.0,0,0.0,0,34861.143224149004,67848.5,271394.0
2020-07-25,FB,AnhTrinh,CVS,237956,3773,3476,7,0,0,0,1,1,499000.0,499000,237956.0,1,63068.11555791148,33993.71428571428,0.0
2020-07-25,FB,YenNguyen02,CVS,0,41414,34306,90,2,16,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-25,FB,ThuHoang,CVS,473031,10625,9599,88,1,0,0,2,2,976304.3478260868,499000,236515.5,1,44520.56470588235,5375.352272727273,0.0
2020-07-25,Google,TienTran,Search,246725,4240,0,115,0,0,0,3,3,1777000.0,1777000,82241.66666666667,1,58189.85849056604,2145.4347826086955,0.0
2020-07-25,Google,TienTran,Discovery,402654,21001,0,929,0,0,0,1,1,499000.0,499000,402654.0,1,19173.08699585734,433.427341227126,0.0
